FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Brandon,Vazquez,Austin FC,F,"3,200,000.00","3,551,778.00"
Owen,Wolff,Austin FC,M,"208,000.00","221,600.00"
Michael,Adedokun,CF Montreal,D,"80,622.00","80,622.00"
Fernando,Álvarez,CF Montreal,D,"275,000.00","307,500.00"
Alessandro,Biello,CF Montreal,M,"80,622.00","80,622.00"
Sébastian,Breza,CF Montreal,GK,"104,000.00","104,000.00"
Dawid,Bugaj,CF Montreal,D,"240,000.00","267,600.00"
George,Campbell,CF Montreal,D,"475,000.00","517,500.00"
Caden,Clark,CF Montreal,M,"375,000.00","407,000.00"
Brandan,Craig,CF Montreal,D,"80,622.00","90,427.00"
Bryce,Duke,CF Montreal,M,"350,000.00","431,875.00"
Olger,Escobar,CF Montreal,F,"80,622.00","86,018.00"
Emil,Gazdov,CF Montreal,GK,"80,622.00","88,769.00"
Owen,Graham-Roache,CF Montreal,F,"80,622.00","86,512.00"
Yuri,Guboglo,CF Montreal,D,"80,622.00","86,311.00"
Fabian,Herbers,CF Montreal,F,"400,000.00","440,000.00"
Sunusi,Ibrahim,CF Montreal,F,"350,000.00","410,000.00"
Victor,Loturi,CF Montreal,M,"80,622.00","92,122.00"
Jahkeele,Marshall-Rutty,CF Montreal,D,"375,000.00","423,125.00"
Jalen,Neal,CF Montreal,D,"600,000.00","681,250.00"
Mahala,Opoku,CF Montreal,F,"458,333.00","598,560.00"
Prince,Owusu,CF Montreal,F,"875,000.00","982,500.00"
Tom,Pearce,CF Montreal,D,"450,000.00","507,625.00"
Luca,Petrasso,CF Montreal,D,"104,000.00","119,136.00"
Samuel,Piette,CF Montreal,M,"535,250.00","561,016.00"
Nathan-Dylan,Saliba,CF Montreal,M,"165,000.00","178,434.00"
Dante,Sealy,CF Montreal,F,"104,000.00","122,022.00"
Jonathan,Sirois,CF Montreal,GK,"275,000.00","292,625.00"
Jules-Anthony,Vilsaint,CF Montreal,F,"125,000.00","131,875.00"
